Town ID,Town name,Registered voters,Issued envelopes,Valid votes,Občanská demokratická strana – Votes,Občanská demokratická strana – %,Řád národa - Vlastenecká unie – Votes,Řád národa - Vlastenecká unie – %,CESTA ODPOVĚDNÉ SPOLEČNOSTI – Votes,CESTA ODPOVĚDNÉ SPOLEČNOSTI – %,Česká str.sociálně demokrat. – Votes,Česká str.sociálně demokrat. – %,Radostné Česko – Votes,Radostné Česko – %,STAROSTOVÉ A NEZÁVISLÍ – Votes,STAROSTOVÉ A NEZÁVISLÍ – %,Komunistická str.Čech a Moravy – Votes,Komunistická str.Čech a Moravy – %,Strana zelených – Votes,Strana zelených – %,"ROZUMNÍ-stop migraci,diktát.EU – Votes","ROZUMNÍ-stop migraci,diktát.EU – %",Strana svobodných občanů – Votes,Strana svobodných občanů – %,Blok proti islam.-Obran.domova – Votes,Blok proti islam.-Obran.domova – %,Občanská demokratická aliance – Votes,Občanská demokratická aliance – %,Česká pirátská strana – Votes,Česká pirátská strana – %,Unie H.A.V.E.L. – Votes,Unie H.A.V.E.L. – %,Referendum o Evropské unii – Votes,Referendum o Evropské unii – %,TOP 09 – Votes,TOP 09 – %,ANO 2011 – Votes,ANO 2011 – %,Dobrá volba 2016 – Votes,Dobrá volba 2016 – %,SPR-Republ.str.Čsl. M.Sládka – Votes,SPR-Republ.str.Čsl. M.Sládka – %,Křesť.demokr.unie-Čs.str.lid. – Votes,Křesť.demokr.unie-Čs.str.lid. – %,Česká strana národně sociální – Votes,Česká strana národně sociální – %,REALISTÉ – Votes,REALISTÉ – %,SPORTOVCI – Votes,SPORTOVCI – %,Dělnic.str.sociální spravedl. – Votes,Dělnic.str.sociální spravedl. – %,Svob.a př.dem.-T.Okamura (SPD) – Votes,Svob.a př.dem.-T.Okamura (SPD) – %,Strana Práv Občanů – Votes,Strana Práv Občanů – %
539104,Bojanovice,372,268,267,36,"13,48 %",0,"0,00 %",0,"0,00 %",24,"8,98 %",0,"0,00 %",19,"7,11 %",15,"5,61 %",1,"0,37 %",3,"1,12 %",6,"2,24 %",0,"0,00 %",0,"0,00 %",36,"13,48 %",0,"0,00 %",0,"0,00 %",13,"4,86 %",78,"29,21 %",1,"0,37 %",0,"0,00 %",7,"2,62 %",0,"0,00 %",1,"0,37 %",0,"0,00 %",1,"0,37 %",24,"8,98 %",2,"0,74 %"
571199,Bratřínov,149,121,121,29,"23,96 %",0,"0,00 %",0,"0,00 %",8,"6,61 %",0,"0,00 %",5,"4,13 %",11,"9,09 %",1,"0,82 %",1,"0,82 %",0,"0,00 %",0,"0,00 %",0,"0,00 %",19,"15,70 %",0,"0,00 %",0,"0,00 %",6,"4,95 %",32,"26,44 %",0,"0,00 %",0,"0,00 %",2,"1,65 %",0,"0,00 %",1,"0,82 %",0,"0,00 %",1,"0,82 %",5,"4,13 %",0,"0,00 %"
599735,Březová-Oleško,869,632,630,110,"17,46 %",0,"0,00 %",0,"0,00 %",18,"2,85 %",0,"0,00 %",49,"7,77 %",33,"5,23 %",8,"1,26 %",7,"1,11 %",19,"3,01 %",1,"0,15 %",1,"0,15 %",103,"16,34 %",0,"0,00 %",0,"0,00 %",73,"11,58 %",133,"21,11 %",0,"0,00 %",2,"0,31 %",17,"2,69 %",0,"0,00 %",6,"0,95 %",0,"0,00 %",1,"0,15 %",45,"7,14 %",4,"0,63 %"
540048,Buš,281,208,207,43,"20,77 %",0,"0,00 %",0,"0,00 %",8,"3,86 %",0,"0,00 %",22,"10,62 %",10,"4,83 %",2,"0,96 %",0,"0,00 %",0,"0,00 %",0,"0,00 %",0,"0,00 %",38,"18,35 %",0,"0,00 %",0,"0,00 %",21,"10,14 %",44,"21,25 %",0,"0,00 %",0,"0,00 %",6,"2,89 %",0,"0,00 %",1,"0,48 %",0,"0,00 %",0,"0,00 %",12,"5,79 %",0,"0,00 %"
539121,Černolice,328,251,248,54,"21,77 %",1,"0,40 %",1,"0,40 %",18,"7,25 %",0,"0,00 %",22,"8,87 %",10,"4,03 %",3,"1,20 %",6,"2,41 %",4,"1,61 %",0,"0,00 %",0,"0,00 %",39,"15,72 %",0,"0,00 %",0,"0,00 %",36,"14,51 %",32,"12,90 %",0,"0,00 %",0,"0,00 %",6,"2,41 %",0,"0,00 %",4,"1,61 %",0,"0,00 %",0,"0,00 %",12,"4,83 %",0,"0,00 %"
539139,Černošice,5 206,3 964,3 945,721,"18,27 %",3,"0,07 %",2,"0,05 %",145,"3,67 %",2,"0,05 %",262,"6,64 %",102,"2,58 %",88,"2,23 %",12,"0,30 %",62,"1,57 %",1,"0,02 %",2,"0,05 %",679,"17,21 %",1,"0,02 %",4,"0,10 %",770,"19,51 %",645,"16,34 %",0,"0,00 %",3,"0,07 %",217,"5,50 %",0,"0,00 %",23,"0,58 %",5,"0,12 %",2,"0,05 %",187,"4,74 %",7,"0,17 %"
532215,Červený Újezd,964,663,661,105,"15,88 %",2,"0,30 %",1,"0,15 %",37,"5,59 %",1,"0,15 %",46,"6,95 %",51,"7,71 %",11,"1,66 %",10,"1,51 %",11,"1,66 %",1,"0,15 %",2,"0,30 %",105,"15,88 %",2,"0,30 %",1,"0,15 %",40,"6,05 %",167,"25,26 %",2,"0,30 %",4,"0,60 %",17,"2,57 %",0,"0,00 %",7,"1,05 %",1,"0,15 %",0,"0,00 %",32,"4,84 %",5,"0,75 %"
539147,Číčovice,235,162,160,25,"15,62 %",0,"0,00 %",1,"0,62 %",9,"5,62 %",0,"0,00 %",8,"5,00 %",11,"6,87 %",3,"1,87 %",0,"0,00 %",0,"0,00 %",0,"0,00 %",1,"0,62 %",28,"17,50 %",0,"0,00 %",0,"0,00 %",15,"9,37 %",43,"26,87 %",0,"0,00 %",0,"0,00 %",5,"3,12 %",0,"0,00 %",2,"1,25 %",0,"0,00 %",0,"0,00 %",9,"5,62 %",0,"0,00 %"
539155,Čisovice,843,562,556,66,"11,87 %",1,"0,17 %",0,"0,00 %",33,"5,93 %",2,"0,35 %",49,"8,81 %",27,"4,85 %",17,"3,05 %",6,"1,07 %",14,"2,51 %",1,"0,17 %",3,"0,53 %",92,"16,54 %",0,"0,00 %",1,"0,17 %",43,"7,73 %",142,"25,53 %",0,"0,00 %",0,"0,00 %",11,"1,97 %",1,"0,17 %",2,"0,35 %",0,"0,00 %",1,"0,17 %",43,"7,73 %",1,"0,17 %"
539163,Davle,1 262,874,867,155,"17,87 %",7,"0,80 %",0,"0,00 %",22,"2,53 %",1,"0,11 %",85,"9,80 %",43,"4,95 %",13,"1,49 %",8,"0,92 %",13,"1,49 %",0,"0,00 %",0,"0,00 %",116,"13,37 %",0,"0,00 %",1,"0,11 %",72,"8,30 %",226,"26,06 %",0,"0,00 %",0,"0,00 %",21,"2,42 %",0,"0,00 %",9,"1,03 %",3,"0,34 %",7,"0,80 %",62,"7,15 %",3,"0,34 %"
539171,Dobrovíz,435,302,299,34,"11,37 %",1,"0,33 %",0,"0,00 %",9,"3,01 %",0,"0,00 %",14,"4,68 %",24,"8,02 %",5,"1,67 %",1,"0,33 %",5,"1,67 %",0,"0,00 %",0,"0,00 %",38,"12,70 %",0,"0,00 %",0,"0,00 %",29,"9,69 %",95,"31,77 %",2,"0,66 %",1,"0,33 %",7,"2,34 %",1,"0,33 %",6,"2,00 %",1,"0,33 %",0,"0,00 %",26,"8,69 %",0,"0,00 %"
539180,Dobříč,252,197,191,23,"12,04 %",0,"0,00 %",0,"0,00 %",16,"8,37 %",0,"0,00 %",14,"7,32 %",10,"5,23 %",11,"5,75 %",1,"0,52 %",2,"1,04 %",0,"0,00 %",0,"0,00 %",31,"16,23 %",0,"0,00 %",0,"0,00 %",20,"10,47 %",50,"26,17 %",0,"0,00 %",1,"0,52 %",5,"2,61 %",0,"0,00 %",2,"1,04 %",0,"0,00 %",0,"0,00 %",5,"2,61 %",0,"0,00 %"
539198,Dobřichovice,2 738,2 059,2 049,413,"20,15 %",2,"0,09 %",3,"0,14 %",81,"3,95 %",0,"0,00 %",142,"6,93 %",47,"2,29 %",60,"2,92 %",4,"0,19 %",32,"1,56 %",4,"0,19 %",2,"0,09 %",336,"16,39 %",0,"0,00 %",0,"0,00 %",371,"18,10 %",336,"16,39 %",2,"0,09 %",1,"0,04 %",89,"4,34 %",2,"0,09 %",11,"0,53 %",1,"0,04 %",3,"0,14 %",106,"5,17 %",1,"0,04 %"
539210,Dolní Břežany,2 635,1 981,1 963,370,"18,84 %",0,"0,00 %",0,"0,00 %",49,"2,49 %",0,"0,00 %",417,"21,24 %",75,"3,82 %",28,"1,42 %",6,"0,30 %",29,"1,47 %",2,"0,10 %",3,"0,15 %",258,"13,14 %",0,"0,00 %",1,"0,05 %",208,"10,59 %",355,"18,08 %",0,"0,00 %",0,"0,00 %",43,"2,19 %",1,"0,05 %",14,"0,71 %",1,"0,05 %",1,"0,05 %",99,"5,04 %",3,"0,15 %"
531146,Drahelčice,653,451,449,53,"11,80 %",0,"0,00 %",1,"0,22 %",20,"4,45 %",1,"0,22 %",45,"10,02 %",25,"5,56 %",12,"2,67 %",0,"0,00 %",8,"1,78 %",0,"0,00 %",1,"0,22 %",63,"14,03 %",0,"0,00 %",0,"0,00 %",48,"10,69 %",128,"28,50 %",1,"0,22 %",1,"0,22 %",13,"2,89 %",0,"0,00 %",1,"0,22 %",1,"0,22 %",0,"0,00 %",27,"6,01 %",0,"0,00 %"
539228,Holubice,1 237,852,850,134,"15,76 %",0,"0,00 %",3,"0,35 %",51,"6,00 %",0,"0,00 %",48,"5,64 %",43,"5,05 %",13,"1,52 %",8,"0,94 %",21,"2,47 %",2,"0,23 %",3,"0,35 %",118,"13,88 %",0,"0,00 %",2,"0,23 %",89,"10,47 %",203,"23,88 %",0,"0,00 %",0,"0,00 %",10,"1,17 %",0,"0,00 %",18,"2,11 %",1,"0,11 %",0,"0,00 %",82,"9,64 %",1,"0,11 %"
539236,Horoměřice,2 610,1 837,1 826,317,"17,36 %",1,"0,05 %",1,"0,05 %",96,"5,25 %",0,"0,00 %",116,"6,35 %",77,"4,21 %",30,"1,64 %",12,"0,65 %",36,"1,97 %",2,"0,10 %",3,"0,16 %",292,"15,99 %",0,"0,00 %",2,"0,10 %",227,"12,43 %",402,"22,01 %",0,"0,00 %",3,"0,16 %",79,"4,32 %",0,"0,00 %",25,"1,36 %",2,"0,10 %",3,"0,16 %",95,"5,20 %",5,"0,27 %"
